adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,genres,imdb_id,production_companies,production_countries,revenue,runtime,status,tagline,spoken_languages,domestic_opening,domestic_gross,asia_pacific_opening,asia_pacific_gross,europe_middle_east_and_africa_opening,europe_middle_east_and_africa_gross,latin_america_opening,latin_america_gross,china_opening,china_gross,domestic,international,worldwide,by_release_opening,by_release_gross,by_region_opening,by_region_gross
False,/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg,"[878, 28, 12]",912649,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",3197.278,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,2024-10-22,Venom: The Last Dance,False,6.5,759,120000000,"Science Fiction, Action, Adventure",tt16366836,"Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions",United States of America,394000000,109,Released,'Til death do they part.,English,51012404.0,128094490.0,12669884.0,37742128.0,27725511.0,66814517.0,8394231.0,20365630.0,0.0,14700000.0,128094490.0,308500000.0,436594490.0,,,,
False,/18TSJF1WLA4CkymvVUcKDBwUJ9F.jpg,"[27, 53, 9648]",1034541,en,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",2204.248,/l1175hgL5DoXnqeZQCcU3eZIdhX.jpg,2024-10-09,Terrifier 3,False,6.925,1012,2000000,"Horror, Thriller, Mystery",tt27911000,"Cineverse, Bloody Disgusting, Dark Age Cinema, Fuzz on the Lens Productions, The Coven, BondIt Media Capital",United States of America,78573405,125,Released,"You better not shout, you better not cry.",English,18928113.0,53981071.0,1201876.0,4909632.0,10667946.0,22930009.0,1784896.0,3556242.0,,,53981071.0,31395883.0,85376954.0,,,,
False,/v9acaWVVFdZT5yAU7J2QjwfhXyD.jpg,"[16, 878, 10751]",1184918,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",1868.856,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,2024-09-12,The Wild Robot,False,8.5,2899,78000000,"Animation, Science Fiction, Family",tt29623480,DreamWorks Animation,United States of America,308583746,102,Released,Discover your true nature.,English,35790150.0,137913995.0,4513231.0,26267130.0,16983417.0,83132264.0,7359239.0,42402473.0,3207589.0,7133654.0,137913995.0,171143000.0,309056995.0,,,,
False,/2fxnTXr8NwyTFkunkimJkGkhqfy.jpg,"[18, 28, 27]",1118031,es,Apocalipsis Z: el principio del fin,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",1861.349,/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg,2024-10-04,Apocalypse Z: The Beginning of the End,False,6.769,485,0,"Drama, Action, Horror",tt27599851,Nostromo Pictures,Spain,0,119,Released,,"العربية, English, Français, Galego, Deutsch, Português, Pусский, Español",,,,,,,,,,,0.0,0.0,0.0,,,,
False,/8mjYwWT50GkRrrRdyHzJorfEfcl.jpg,"[28, 12, 18]",558449,en,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1978.412,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,2024-11-13,Gladiator II,False,6.8,400,310000000,"Action, Adventure, Drama",tt9218128,"Paramount Pictures, Red Wagon Entertainment, Parkes+MacDonald Image Nation, Scott Free Productions",United States of America,87000000,148,Released,Prepare to be entertained.,English,,,9200000.0,9200000.0,49245191.0,49356871.0,8344008.0,8405072.0,,,0.0,87000000.0,87000000.0,,,,
False,/dvBCdCohwWbsP5qAaglOXagDMtk.jpg,"[28, 35, 878]",533535,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",1490.952,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,Deadpool & Wolverine,False,7.7,5465,200000000,"Action, Comedy, Science Fiction",tt6263850,"Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment",United States of America,1336816114,128,Released,Come together.,English,211435291.0,636745858.0,54693311.0,154480407.0,76771204.0,307847954.0,41460895.0,107787788.0,24111734.0,59694219.0,636745858.0,701154969.0,1337900827.0,,,,
False,/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg,"[18, 27, 878]",933260,en,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",1356.547,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,2024-09-07,The Substance,False,7.273,2048,17500000,"Drama, Horror, Science Fiction",tt17526714,"Working Title Films, Blacksmith","France, United Kingdom",46818041,141,Released,"If you follow the instructions, what could go wrong?",English,3205212.0,16235191.0,871771.0,7929030.0,4017172.0,16234963.0,682249.0,9560703.0,,,16235191.0,35228181.0,51463372.0,,,,
False,/1FBHAQnq7Bs3djBmaNkfdVbnCUE.jpg,"[28, 53]",1124641,en,Classified,"Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing.",1241.638,/3k8jv1kSAAc0rCfFGtWDDQL4dfK.jpg,2024-09-19,Classified,False,5.602,49,0,"Action, Thriller",tt27714840,"Film Bridge International, Great Point Media, Filmology Finance","United Kingdom, United States of America",0,105,Released,,English,,,,,20661.0,26868.0,,,,,0.0,26868.0,26868.0,,,,
False,/2h9yTYWTb909J28bzNTIE7dyNqP.jpg,"[16, 878, 12, 10751]",698687,en,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",1200.39,/qbkAqmmEIZfrCO8ZQAuIuVMlWoV.jpg,2024-09-11,Transformers One,False,8.1,718,75000000,"Animation, Science Fiction, Adventure, Family",tt8864596,"Paramount Animation, di Bonaventura Pictures, DeSanto/Murphy Productions, Bay Films, New Republic Pictures, Hasbro Entertainment",United States of America,124530200,104,Released,Witness the origin.,English,24613970.0,59042233.0,2203752.0,20405749.0,5172121.0,17618173.0,1429289.0,7615221.0,8000000.0,21526772.0,59042233.0,69833933.0,128876166.0,,,,
False,/rOmUuQEZfPXglwFs5ELLLUDKodL.jpg,"[28, 35, 14]",845781,en,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.",1080.128,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,2024-10-31,Red One,False,6.7,125,250000000,"Action, Comedy, Fantasy",tt14948432,"Seven Bucks Productions, The Detective Agency, Chris Morgan Productions, Metro-Goldwyn-Mayer",United States of America,84000000,124,Released,The mission to save Christmas is on.,English,32106112.0,33770372.0,3377958.0,3918507.0,10240546.0,11587627.0,3956346.0,5773927.0,2000000.0,2900000.0,33770372.0,51100000.0,84870372.0,,,,
