adult,backdrop_path,domestic_gross,domestic_openening,duration_minutes,genre_ids,id,imdb_id,international_gross,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,worldwide_gross
False,/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg,128094490.0,51012404.0,110.0,"[878, 28, 12]",912649,tt16366836,308500000.0,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",4301.968,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,2024-10-23 00:00:00,Venom: The Last Dance,False,6.4,736,436594490.0
False,/18TSJF1WLA4CkymvVUcKDBwUJ9F.jpg,53981071.0,18928113.0,125.0,"[27, 53, 9648]",912649,tt27911000,31356121.0,en,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",3158.896,/l1175hgL5DoXnqeZQCcU3eZIdhX.jpg,2024-10-09 00:00:00,Terrifier 3,False,6.929,978,85337192.0
False,/8mjYwWT50GkRrrRdyHzJorfEfcl.jpg,,,148.0,"[28, 12, 18]",912649,tt9218128,87000000.0,en,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",2557.256,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,2024-11-13 00:00:00,Gladiator II,False,6.8,314,87000000.0
False,/v9acaWVVFdZT5yAU7J2QjwfhXyD.jpg,137913995.0,35790150.0,102.0,"[16, 878, 10751]",912649,tt29623480,171143000.0,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2808.78,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,2024-09-19 00:00:00,The Wild Robot,False,8.5,2860,309056995.0
False,/2fxnTXr8NwyTFkunkimJkGkhqfy.jpg,,,117.0,"[18, 28, 27]",912649,tt27599851,,es,Apocalipsis Z: el principio del fin,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",2787.601,/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg,,Apocalypse Z: The Beginning of the End,False,6.8,464,
False,/dvBCdCohwWbsP5qAaglOXagDMtk.jpg,636745858.0,211435291.0,128.0,"[28, 35, 878]",912649,tt6263850,701154969.0,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2352.676,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-18 00:00:00,Deadpool & Wolverine,False,7.7,5430,1337900827.0
False,/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg,16235191.0,3205212.0,141.0,"[18, 27, 878]",912649,tt17526714,35223948.0,en,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",1926.657,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,2024-09-18 00:00:00,The Substance,False,7.3,1993,51459139.0
False,/rOmUuQEZfPXglwFs5ELLLUDKodL.jpg,33770372.0,32106112.0,123.0,"[28, 35, 14]",912649,tt14948432,51100000.0,en,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.",1672.621,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,2024-11-06 00:00:00,Red One,False,6.7,116,84870372.0
False,/2h9yTYWTb909J28bzNTIE7dyNqP.jpg,59042233.0,24613970.0,104.0,"[16, 878, 12, 10751]",912649,tt8864596,69833933.0,en,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",1736.623,/iHPIBzrjJHbXeY9y7VVbEVNt7LW.jpg,2024-09-11 00:00:00,Transformers One,False,8.082,708,128876166.0
False,/1FBHAQnq7Bs3djBmaNkfdVbnCUE.jpg,,,105.0,"[28, 53]",912649,tt27714840,26868.0,en,Classified,"Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing.",1692.494,/3k8jv1kSAAc0rCfFGtWDDQL4dfK.jpg,2024-09-19 00:00:00,Classified,False,5.6,48,26868.0
False,/6vn6K9oX82i6E86ZiHVxqVEMQqP.jpg,105313091.0,42003361.0,119.0,"[878, 27]",912649,tt18412256,245547940.0,en,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",1463.963,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,2024-08-14 00:00:00,Alien: Romulus,False,7.253,2303,350861031.0
False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,361004205.0,75009210.0,94.0,"[16, 10751, 35, 28]",912649,tt7510222,607236505.0,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",1198.555,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20 00:00:00,Despicable Me 4,False,7.096,2164,968240710.0
False,/pRxdRO3sXmvadDBdBmvzghLOhzs.jpg,,,178.0,"[28, 12, 18, 36, 10749, 53]",912649,tt26446278,76301696.0,fr,Le Comte de Monte-Cristo,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",984.677,/zw4kV7npGtaqvUxvJE9IdqdFsNc.jpg,2024-06-26 00:00:00,The Count of Monte-Cristo,False,8.3,839,76301696.0
False,/9s9o9RT9Yj6nDuRJjnJm78WFoFl.jpg,828919.0,504937.0,92.0,"[28, 27, 53, 878]",912649,tt22939186,179796.0,en,Arcadian,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",1184.002,/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg,2024-04-12 00:00:00,Arcadian,False,6.1,436,1008715.0
False,/6VoxDupaW2VXfLtJyeOoGCgXSjD.jpg,,,92.0,"[28, 53]",912649,tt24131288,167694.0,en,Cash Out,"Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life.",1132.004,/xBJnIvRdL0nDHgvivr6EgBQizes.jpg,2024-09-12 00:00:00,Cash Out,False,6.2,108,167694.0
False,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,213515506.0,80255756.0,112.0,"[878, 28]",912649,tt1270797,642569645.0,en,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",1033.837,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,2018-10-03 00:00:00,Venom,False,6.835,15962,856085161.0
False,/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg,652980194.0,154201673.0,96.0,"[16, 10751, 12, 35, 18]",912649,tt22022452,1045237759.0,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",948.908,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-12 00:00:00,Inside Out 2,False,7.6,4741,1698217953.0
False,/xPVhaMMUZq1yclf4kCEYwJ1Cqr6.jpg,,,95.0,"[27, 53]",912649,tt13358904,341532.0,ru,Заклятье. Шепот ведьм,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.",1032.238,/um3n8rQbr97uaGB2058TsktPtAy.jpg,2024-06-13 00:00:00,Whisper of the Witch,False,6.2,10,341532.0
False,/jT4KqFTrR2ofpUUwzKCIn4uYWXp.jpg,,,100.0,"[28, 53]",912649,tt14972766,,en,Dominique,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",731.599,/jvug7Esd89yNLJwGvUfeQ9j69cE.jpg,,Dominique,False,7.0,41,
False,/csQSGH0QU8D3Ov5YLEYuHep8ihA.jpg,,,90.0,"[53, 12, 28, 878]",912649,tt27032708,723311.0,fr,Survivre,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,901.94,/7fR3KxswtY8OHHZuOUB9td58CRX.jpg,2024-06-19 00:00:00,Survive,False,5.1,50,723311.0
False,/xPVhaMMUZq1yclf4kCEYwJ1Cqr6.jpg,,,95.0,"[27, 53]",912649,tt13358904,341532.0,ru,Заклятье. Шепот ведьм,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.",1032.238,/um3n8rQbr97uaGB2058TsktPtAy.jpg,2024-06-13 00:00:00,Whisper of the Witch,False,6.2,10,341532.0
False,/jT4KqFTrR2ofpUUwzKCIn4uYWXp.jpg,,,100.0,"[28, 53]",912649,tt14972766,,en,Dominique,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",731.599,/jvug7Esd89yNLJwGvUfeQ9j69cE.jpg,,Dominique,False,7.0,41,
False,/m1MifWpNjOU1g8UfIyNSI2dMFZf.jpg,,,,"[16, 10751, 35, 27]",912649,tt33999453,,en,Sing: Thriller,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.",730.511,/i77OInTKcrnRlAozFOaB6D5mk15.jpg,,Sing: Thriller,False,7.4,91,
False,/csQSGH0QU8D3Ov5YLEYuHep8ihA.jpg,,,90.0,"[53, 12, 28, 878]",912649,tt27032708,723311.0,fr,Survivre,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,901.94,/7fR3KxswtY8OHHZuOUB9td58CRX.jpg,2024-06-19 00:00:00,Survive,False,5.1,50,723311.0
False,/n9Do4rv1Hl3QvQLMmT5w6pBadqq.jpg,,,110.0,"[28, 10749, 18]",912649,tt31917705,,fr,Libre,"Inspired by the true events of one of France's most notorious non-violent robbers, Bruno Sulak, in the 1980s. He led multiple heists, then captured public attention for his many daring escapes from police custody...always to reunite with his beloved lover and accomplice Annie, becoming both France's Public Enemy #1 and an icon of Freedom.",840.169,/b2YL2kncIqlcDcqly78AsOPJi6r.jpg,,Freedom,False,6.7,52,
False,/xi1VSt3DtkevUmzCx2mNlCoDe74.jpg,294037988.0,111003345.0,105.0,"[35, 14, 27]",912649,tt2049403,157000000.0,en,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",617.71,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,2024-09-04 00:00:00,Beetlejuice Beetlejuice,False,7.1,1814,451037988.0
False,/uLqNGzJwnj8JKkKuRM2dHWJKCtc.jpg,433861.0,282719.0,86.0,"[28, 27, 53]",912649,tt22173666,236974.0,en,Azrael,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",797.707,/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg,2024-09-27 00:00:00,Azrael,False,6.141,128,670835.0
False,/uGmYqxh8flqkudioyFtD7IJSHxK.jpg,58300287.0,37678467.0,138.0,"[18, 80, 53]",912649,tt11315808,148100000.0,en,Joker: Folie à Deux,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",691.319,/if8QiqCI7WAGImKcJCfzp6VTyKA.jpg,2024-10-01 00:00:00,Joker: Folie à Deux,False,5.6,1588,206400287.0
False,/5IIFJxwRzmkhczQidIhpoaolpZY.jpg,,,101.0,"[28, 53, 80]",912649,tt20048582,623020.0,en,Canary Black,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want.",716.277,/hhiR6uUbTYYvKoACkdAIQPS5c6f.jpg,2024-10-03 00:00:00,Canary Black,False,6.3,241,623020.0
